Title,Price,Final Price,Link
Hogwarts Legacy : L'Héritage de Poudlard,43.89,52.67,https://www.instant-gaming.com/fr/7072-acheter-hogwarts-legacy-l-heritage-de-poudlard-pc-jeu-steam-europe/
Company of Heroes 3,34.49,41.39,https://www.instant-gaming.com/fr/9237-acheter-company-of-heroes-3-pc-jeu-steam-europe/
Atomic Heart,43.49,52.19,https://www.instant-gaming.com/fr/2587-acheter-atomic-heart-pc-jeu-steam/
Hogwarts Legacy : L'Héritage de Poudlard Deluxe Edition,52.49,62.99,https://www.instant-gaming.com/fr/12738-acheter-hogwarts-legacy-l-heritage-de-poudlard-deluxe-edition-deluxe-edition-pc-jeu-steam-europe/
Digimon World: Next Order,38.6,46.32,https://www.instant-gaming.com/fr/13571-acheter-digimon-world-next-order-pc-jeu-steam/
Destiny 2 : Éclipse + Pass Annuel,68.99,82.79,https://www.instant-gaming.com/fr/12728-acheter-destiny-2-eclipse-pass-annuel-pc-jeu-steam/
Atomic Heart Premium Edition,71.49,85.79,https://www.instant-gaming.com/fr/13500-acheter-atomic-heart-premium-edition-premium-edition-pc-jeu-steam/
Returnal,38.39,46.07,https://www.instant-gaming.com/fr/9666-acheter-returnal-pc-jeu-steam/
Blood Bowl 3 Brutal Edition,33.99,40.79,https://www.instant-gaming.com/fr/13309-acheter-blood-bowl-3-brutal-edition-brutal-edition-pc-jeu-steam/
NBA 2K23,14.39,17.27,https://www.instant-gaming.com/fr/12480-acheter-nba-2k23-pc-jeu-steam-europe/
Octopath Traveler 2,44.59,53.51,https://www.instant-gaming.com/fr/12870-acheter-octopath-traveler-2-pc-jeu-steam/
Football Manager 2023,38.99,46.79,https://www.instant-gaming.com/fr/12596-acheter-football-manager-2023-pc-mac-jeu-steam-europe/
The Last of Us Part I Digital Deluxe Edition,45.99,55.19,https://www.instant-gaming.com/fr/13613-acheter-the-last-of-us-part-i-digital-deluxe-edition-digital-deluxe-edition-pc-jeu-steam/
Blood Bowl 3,21.14,25.37,https://www.instant-gaming.com/fr/8174-acheter-blood-bowl-3-pc-jeu-steam/
Marvel’s Spider-Man: Miles Morales,21.64,25.97,https://www.instant-gaming.com/fr/12953-acheter-marvel-s-spider-man-miles-morales-pc-jeu-steam/
Destiny 2 : Éclipse,33.89,40.67,https://www.instant-gaming.com/fr/12702-acheter-destiny-2-eclipse-pc-jeu-steam/
Like a Dragon: Ishin! – Digital Deluxe,53.99,64.79,https://www.instant-gaming.com/fr/13342-acheter-like-a-dragon-ishin-digital-deluxe-digital-deluxe-pc-jeu-steam-europe/
Like a Dragon : Ishin!,46.99,56.39,https://www.instant-gaming.com/fr/12906-acheter-like-a-dragon-ishin-pc-jeu-steam-europe/
Pharaoh: A New Era,14.46,17.35,https://www.instant-gaming.com/fr/7494-acheter-pharaoh-a-new-era-pc-jeu-steam/
Hokko Life,1.72,2.06,https://www.instant-gaming.com/fr/6443-acheter-hokko-life-pc-jeu-steam/
Mount & Blade II: Bannerlord,25.49,30.59,https://www.instant-gaming.com/fr/761-acheter-mount-et-blade-ii-bannerlord-pc-jeu-steam/
Undisputed,22.49,26.99,https://www.instant-gaming.com/fr/13421-acheter-undisputed-pc-jeu-steam/
The Last of Us Part I,39.89,47.87,https://www.instant-gaming.com/fr/13298-acheter-the-last-of-us-part-i-pc-jeu-steam/
Hi-Fi RUSH,22.79,27.35,https://www.instant-gaming.com/fr/13480-acheter-hi-fi-rush-pc-jeu-steam/
